,year,P_copernicus,P_copernicus_completed,P_schelde,month,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
143,2002,0.258479795,0.258479795,0.026727273,11,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
144,2002,0.258479795,0.258479795,0.026727273,12,0.424036138,0.884807228,0.769614455,0.654421683,0.571984436,0.914396887,0.828793774,0.743190661
145,2003,0.350373867,0.350373867,0.029181818,1,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
146,2003,0.350373867,0.350373867,0.029181818,2,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
147,2003,0.350373867,0.350373867,0.029181818,3,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
148,2003,0.350373867,0.350373867,0.029181818,4,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
149,2003,0.350373867,0.350373867,0.029181818,5,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
150,2003,0.350373867,0.350373867,0.029181818,6,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
151,2003,0.350373867,0.350373867,0.029181818,7,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
152,2003,0.350373867,0.350373867,0.029181818,8,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
153,2003,0.350373867,0.350373867,0.029181818,9,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
154,2003,0.350373867,0.350373867,0.029181818,10,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
155,2003,0.350373867,0.350373867,0.029181818,11,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
