EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"catch (predicted)Sharks_C_rel","catch (observed) Sharks_C_rel","catch (predicted)Rays_C_rel","catch (observed) Rays_C_rel","catch (predicted)Cod.adult_C_rel","catch (observed) Cod.adult_C_rel","catch (predicted)Whiting.adult_C_rel","catch (observed) Whiting.adult_C_rel","catch (predicted)OtherGadoids_C_rel","catch (observed) OtherGadoids_C_rel","catch (predicted)DemersalFish_C_rel","catch (observed) DemersalFish_C_rel","catch (predicted)Herring.adult_C_rel","catch (observed) Herring.adult_C_rel","catch (predicted)Sprat_C_rel","catch (observed) Sprat_C_rel","catch (predicted)Mackerel_C_rel","catch (observed) Mackerel_C_rel","catch (predicted)HorseMackerel_C_rel","catch (observed) HorseMackerel_C_rel","catch (predicted)Sandeels_C_rel","catch (observed) Sandeels_C_rel","catch (predicted)Plaice.adult_C_rel","catch (observed) Plaice.adult_C_rel","catch (predicted)Dab_C_rel","catch (observed) Dab_C_rel","catch (predicted)OtherFlatfish_C_rel","catch (observed) OtherFlatfish_C_rel","catch (predicted)Sole.adult_C_rel","catch (observed) Sole.adult_C_rel","catch (predicted)SeaBass_C_rel","catch (observed) SeaBass_C_rel","catch (predicted)PelagicFish_C_rel","catch (observed) PelagicFish_C_rel","catch (predicted)SquidCuttlefish_C_rel","catch (observed) SquidCuttlefish_C_rel","catch (predicted)LargeCrabsShrimps _C_rel","catch (observed) LargeCrabsShrimps _C_rel","catch (predicted)Crangon.com_C_rel","catch (observed) Crangon.com_C_rel",
54,0.01379843,0.02262731,0.0444528,0.05120524,0.2708074,0.6793486,0.3469805,0.4608366,0.01856846,0.02280238,0.1914101,,0.3378432,0.9529775,0.3353051,0.1744954,0.1818875,0.6128336,0.0594176,0.03465686,2.8168,8.57121,0.7917874,0.9485531,0.1678249,0.05682673,0.1132538,0.1059772,0.4234352,0.3412931,0.001198163,0.001397535,0.01665728,0.02943691,0.003315219,0.005456401,0.03790556,0.05760707,0.2075286,0.2143076,
55,0.01382668,,0.04505837,,0.2756219,,0.3447362,,0.01809395,,0.1770022,,0.3565634,,0.3265224,,0.1808292,,0.06066089,,2.731435,,0.7928019,,0.1712408,,0.1153486,,0.4106425,,0.001213873,,0.01660999,,0.003184578,,0.0382335,,0.1978233,,
56,0.01385198,,0.04561673,,0.2799908,,0.3411427,,0.01761647,,0.1606762,,0.3767379,,0.3199598,,0.1796586,,0.0618551,,2.674514,,0.7932521,,0.1746691,,0.1174605,,0.3998537,,0.001229706,,0.01659085,,0.003061046,,0.03875639,,0.1961579,,
57,0.01387391,,0.04612268,,0.2836818,,0.3357733,,0.0171635,,0.1437,,0.3973407,,0.3155978,,0.1784212,,0.06296824,,2.645202,,0.7930388,,0.1781061,,0.1195567,,0.3905622,,0.00124451,,0.01660406,,0.002947242,,0.03943448,,0.1997024,,
58,0.01389282,,0.04656615,,0.2865931,,0.3288324,,0.0167556,,0.1273366,,0.4174729,,0.3131803,,0.1771657,,0.06396124,,2.640532,,0.7921075,,0.1815497,,0.1216097,,0.3824372,,0.001256784,,0.01664768,,0.002841949,,0.04022423,,0.1996149,,
59,0.0139113,,0.04693414,,0.289241,,0.3222532,,0.01640569,,0.1128437,,0.4363655,,0.3123751,,0.1759478,,0.06478789,,2.656029,,0.7905329,,0.1850023,,0.1236373,,0.3752882,,0.001267198,,0.01672669,,0.002742568,,0.04107682,,0.1988766,,
60,0.01393401,,0.04721814,,0.2915336,,0.3156196,,0.01612118,,0.1009382,,0.4533441,,0.3128292,,0.1748396,,0.06541284,,2.686701,,0.7883484,,0.1884688,,0.1256755,,0.3690306,,0.001277671,,0.01684943,,0.002646341,,0.04194235,,0.19351,,
61,0.01396244,,0.04740517,,0.2994409,,0.2787603,,0.01590966,,0.09166817,,0.2307152,,0.3565941,,0.1683936,,0.06580944,,2.543075,,0.7856013,,0.1919548,,0.1277401,,0.3842337,,0.001761495,,0.01789483,,0.002556496,,0.0428088,,0.1840461,,
62,0.01399774,,0.0474759,,0.3006512,,0.2745476,,0.01577435,,0.08519982,,0.2397871,,0.3552805,,0.1676968,,0.06594952,,2.600821,,0.7823438,,0.1954666,,0.1298368,,0.3779353,,0.00177253,,0.01812335,,0.00247673,,0.04367321,,0.1738695,,
63,0.01403909,,0.04741239,,0.3021217,,0.2709814,,0.01571452,,0.08144778,,0.2468424,,0.3555632,,0.1671475,,0.06581142,,2.666185,,0.7786583,,0.199006,,0.1319748,,0.3723662,,0.001786857,,0.01842254,,0.002413415,,0.04453298,,0.1688481,,
