EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
61,0.3327121,,1.189254,,0.6335462,,0.5613121,,0.2584015,,0.7669696,,0.5489053,,0.2566241,,15.16546,,1.322528,,0.01469514,,0.3349437,,0.8271878,,0.008851736,,2.023034,,0.04473707,,4.890529,,
62,0.3340569,,1.236016,,0.6239719,,0.5589892,,0.2574497,,0.7637894,,0.5399075,,0.2608364,,15.44292,,1.324501,,0.01473228,,0.3320951,,0.7688193,,0.008907186,,2.02734,,0.04530839,,5.001578,,
63,0.3356908,,1.272383,,0.6158669,,0.5571584,,0.2576545,,0.7601913,,0.5319517,,0.2651314,,15.72255,,1.322729,,0.0147758,,0.3308356,,0.7349619,,0.008979182,,2.023095,,0.04605635,,5.12728,,
64,0.3376423,,1.297255,,0.6088707,,0.5559278,,0.2588094,,0.7562783,,0.524875,,0.269477,,16.00428,,1.316663,,0.01482463,,0.3310683,,0.7230211,,0.009065104,,2.009896,,0.0469694,,5.263193,,
65,0.3395858,,1.309907,,0.6012248,,0.5553584,,0.2607049,,0.752296,,0.518424,,0.2737891,,16.28806,,1.305755,,0.01487695,,0.3326417,,0.7297358,,0.009156869,,1.987698,,0.04801781,,5.404358,,
66,0.3412876,0.2872401,1.310296,0.2086046,0.5932186,0.2981975,0.5554361,1.178025,0.2631359,0.1034359,0.7481146,0.4287734,0.5123477,0.5306406,0.2779838,0.3785521,16.57392,17.56157,1.28946,0.8747843,0.01493034,0.007094897,0.3353668,0.5191778,0.7514133,0.5401825,0.009243608,0.09003223,1.956881,1.345177,0.04915439,0.05527542,5.545184,7.553124,
67,0.343156,,1.299256,,0.5868011,,0.5561167,,0.2658744,,0.7435211,,0.5065145,,0.2820866,,16.86214,,1.267274,,0.01498436,,0.3390252,,0.7845767,,0.00932677,,1.918335,,0.050343,,5.679028,,
68,0.3453289,,1.278653,,0.5821735,,0.5573332,,0.2687016,,0.7382564,,0.5007604,,0.2861755,,17.15315,,1.238749,,0.01504041,,0.343392,,0.8267,,0.009417385,,1.873567,,0.05156291,,5.799121,,
69,0.3475265,,1.251419,,0.5788239,,0.5589306,,0.2714952,,0.7333502,,0.4948741,,0.2903092,,17.44736,,1.205041,,0.01509568,,0.3482715,,0.8766583,,0.009524118,,1.824626,,0.05280559,,5.901901,,
70,0.3495804,,1.221279,,0.5773543,,0.5607189,,0.2742056,,0.7296509,,0.4886791,,0.2945183,,17.74498,,1.173223,,0.01514911,,0.3534862,,0.9342284,,0.009654766,,1.773873,,0.05407326,,5.986394,,
