"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"Netherlands","Wolffishes(=Catfishes) nei",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Norway","Angler(=Monk)",0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,1,0,"Demersal fish"
"Norway","Atlantic redfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Norway","Atlantic wolffish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Norway","European hake",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,"Demersal fish"
"Norway","Finfishes nei",0,0,0.5,8,0.5,10,22,22,10,0,1,9,0.5,0.5,0,2,0,0.5,0,0,"Demersal fish"
"Norway","Ling",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Norway","Tusk(=Cusk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Norway","Wolffishes(=Catfishes) nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Poland","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Spain","European conger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Spain","European hake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Spain","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Sweden","Grey gurnard",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Allis and twaite shads",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Angler(=Monk)",6,17,18,136,361,256,131,36,3,1,0,0,10,3,0,0.5,0,0,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Anglerfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Atlantic redfishes nei",0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Atlantic wolffish",11,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Black seabream",0,0,0,0,0,0,0,0.5,0.5,0.5,0,14,0.5,2,32,0.5,1,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Blackspot(=red) seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"Demersal fish"
