Year,Month,scenario,variable
2041,12,SSP2-4.5,9.581858154
2042,1,SSP2-4.5,7.562738549
2042,2,SSP2-4.5,6.676864542
2042,3,SSP2-4.5,6.717638241
2042,4,SSP2-4.5,7.965987286
2042,5,SSP2-4.5,10.70731113
2042,6,SSP2-4.5,14.40200455
2042,7,SSP2-4.5,17.64035258
2042,8,SSP2-4.5,19.01598763
2042,9,SSP2-4.5,18.11316045
2042,10,SSP2-4.5,15.84209637
2042,11,SSP2-4.5,12.63060167
2042,12,SSP2-4.5,9.90311767
2043,1,SSP2-4.5,7.909507826
2043,2,SSP2-4.5,6.737301322
2043,3,SSP2-4.5,6.510372445
2043,4,SSP2-4.5,8.016544197
2043,5,SSP2-4.5,10.89828648
2043,6,SSP2-4.5,14.74662695
2043,7,SSP2-4.5,18.29482942
2043,8,SSP2-4.5,19.08353442
2043,9,SSP2-4.5,18.15071825
2043,10,SSP2-4.5,15.73147096
2043,11,SSP2-4.5,12.61612838
2043,12,SSP2-4.5,9.924266033
2044,1,SSP2-4.5,7.838765205
2044,2,SSP2-4.5,6.658900718
2044,3,SSP2-4.5,6.749553031
2044,4,SSP2-4.5,8.393367027
2044,5,SSP2-4.5,11.12297867
2044,6,SSP2-4.5,14.81399405
2044,7,SSP2-4.5,17.65844376
2044,8,SSP2-4.5,19.08019917
2044,9,SSP2-4.5,18.29087416
2044,10,SSP2-4.5,15.80873294
2044,11,SSP2-4.5,12.99510834
2044,12,SSP2-4.5,10.1297686
2045,1,SSP2-4.5,8.000453067
2045,2,SSP2-4.5,6.941062655
2045,3,SSP2-4.5,6.99793312
2045,4,SSP2-4.5,8.415460361
2045,5,SSP2-4.5,11.19435166
2045,6,SSP2-4.5,14.69175434
2045,7,SSP2-4.5,17.99859083
2045,8,SSP2-4.5,19.10554378
2045,9,SSP2-4.5,18.17572562
2045,10,SSP2-4.5,15.76301836
2045,11,SSP2-4.5,12.73931555
2045,12,SSP2-4.5,9.938966466
2046,1,SSP2-4.5,7.967740051
2046,2,SSP2-4.5,6.739186614
2046,3,SSP2-4.5,6.691494218
2046,4,SSP2-4.5,8.095597652
2046,5,SSP2-4.5,10.97411096
2046,6,SSP2-4.5,14.77701747
2046,7,SSP2-4.5,17.88499309
2046,8,SSP2-4.5,19.20484737
2046,9,SSP2-4.5,18.16971506
2046,10,SSP2-4.5,15.98349389
2046,11,SSP2-4.5,12.90950276
2046,12,SSP2-4.5,9.919680158
2047,1,SSP2-4.5,7.836952695
2047,2,SSP2-4.5,6.596412322
2047,3,SSP2-4.5,6.56946115
2047,4,SSP2-4.5,7.936164827
2047,5,SSP2-4.5,11.03836847
2047,6,SSP2-4.5,14.70557884
2047,7,SSP2-4.5,18.10938061
2047,8,SSP2-4.5,19.33790412
2047,9,SSP2-4.5,18.32658947
2047,10,SSP2-4.5,15.73413739
2047,11,SSP2-4.5,12.75200519
2047,12,SSP2-4.5,9.961778047
2048,1,SSP2-4.5,7.896016408
2048,2,SSP2-4.5,7.02151369
2048,3,SSP2-4.5,7.194533799
2048,4,SSP2-4.5,8.474891043
2048,5,SSP2-4.5,11.43563921
2048,6,SSP2-4.5,14.98718873
2048,7,SSP2-4.5,18.05968553
2048,8,SSP2-4.5,19.46930011
2048,9,SSP2-4.5,18.60086072
