Year,Month,scenario,variable,rownum
2029,6,SSP1-2.6,14.7368236,438
2029,7,SSP1-2.6,17.98040621,439
2029,8,SSP1-2.6,18.99452875,440
2029,9,SSP1-2.6,18.13345568,441
2029,10,SSP1-2.6,15.76594,442
2029,11,SSP1-2.6,12.44490652,443
2029,12,SSP1-2.6,9.531896297,444
2030,1,SSP1-2.6,7.363661006,445
2030,2,SSP1-2.6,6.370695872,446
2030,3,SSP1-2.6,6.449602828,447
2030,4,SSP1-2.6,7.87922584,448
2030,5,SSP1-2.6,10.86108882,449
2030,6,SSP1-2.6,14.63224464,450
2030,7,SSP1-2.6,17.47146595,451
2030,8,SSP1-2.6,18.63870081,452
2030,9,SSP1-2.6,17.86600264,453
2030,10,SSP1-2.6,15.63780803,454
2030,11,SSP1-2.6,12.58651252,455
2030,12,SSP1-2.6,9.737799024,456
2031,1,SSP1-2.6,7.541990574,457
2031,2,SSP1-2.6,6.108798551,458
2031,3,SSP1-2.6,5.919658042,459
2031,4,SSP1-2.6,7.676852741,460
2031,5,SSP1-2.6,10.84627399,461
2031,6,SSP1-2.6,14.73014228,462
2031,7,SSP1-2.6,17.77084568,463
2031,8,SSP1-2.6,18.88249643,464
2031,9,SSP1-2.6,17.99039164,465
2031,10,SSP1-2.6,15.61925051,466
2031,11,SSP1-2.6,12.4232013,467
2031,12,SSP1-2.6,9.589970347,468
2032,1,SSP1-2.6,7.561352813,469
2032,2,SSP1-2.6,6.396711717,470
2032,3,SSP1-2.6,6.251088545,471
2032,4,SSP1-2.6,7.812512634,472
2032,5,SSP1-2.6,10.78159463,473
2032,6,SSP1-2.6,14.65889,474
2032,7,SSP1-2.6,17.57432782,475
2032,8,SSP1-2.6,18.79141652,476
2032,9,SSP1-2.6,17.96891042,477
2032,10,SSP1-2.6,15.61820586,478
2032,11,SSP1-2.6,12.40590795,479
2032,12,SSP1-2.6,9.441813901,480
2033,1,SSP1-2.6,7.168197344,481
2033,2,SSP1-2.6,6.065928166,482
2033,3,SSP1-2.6,6.318717514,483
2033,4,SSP1-2.6,8.010185323,484
2033,5,SSP1-2.6,10.9648883,485
2033,6,SSP1-2.6,14.99349691,486
2033,7,SSP1-2.6,18.06795155,487
2033,8,SSP1-2.6,18.94542669,488
2033,9,SSP1-2.6,18.17414835,489
2033,10,SSP1-2.6,15.84626383,490
2033,11,SSP1-2.6,12.49080383,491
2033,12,SSP1-2.6,9.380105689,492
2034,1,SSP1-2.6,7.232967437,493
2034,2,SSP1-2.6,6.285507823,494
2034,3,SSP1-2.6,6.510481449,495
2034,4,SSP1-2.6,8.106443857,496
2034,5,SSP1-2.6,10.93077106,497
2034,6,SSP1-2.6,14.38135379,498
2034,7,SSP1-2.6,17.93162798,499
2034,8,SSP1-2.6,18.74672527,500
2034,9,SSP1-2.6,17.97680612,501
2034,10,SSP1-2.6,15.62987284,502
2034,11,SSP1-2.6,12.24699726,503
2034,12,SSP1-2.6,9.434913174,504
2035,1,SSP1-2.6,7.650837136,505
2035,2,SSP1-2.6,6.807179596,506
2035,3,SSP1-2.6,6.678253117,507
2035,4,SSP1-2.6,8.051774988,508
2035,5,SSP1-2.6,10.88355126,509
2035,6,SSP1-2.6,14.79320496,510
2035,7,SSP1-2.6,17.84658195,511
2035,8,SSP1-2.6,19.00094526,512
2035,9,SSP1-2.6,18.15662225,513
2035,10,SSP1-2.6,15.48772007,514
2035,11,SSP1-2.6,12.26075176,515
2035,12,SSP1-2.6,9.394191659,516
2036,1,SSP1-2.6,7.435401165,517
2036,2,SSP1-2.6,6.545770982,518
2036,3,SSP1-2.6,6.656354179,519
2036,4,SSP1-2.6,8.31038818,520
2036,5,SSP1-2.6,11.3397905,521
2036,6,SSP1-2.6,15.04251159,522
2036,7,SSP1-2.6,18.05789265,523
2036,8,SSP1-2.6,19.15830457,524
2036,9,SSP1-2.6,18.32287318,525
2036,10,SSP1-2.6,15.71604321,526
2036,11,SSP1-2.6,12.4014449,527
2036,12,SSP1-2.6,9.464362213,528
2037,1,SSP1-2.6,7.430499759,529
2037,2,SSP1-2.6,6.297712862,530
2037,3,SSP1-2.6,6.376857497,531
2037,4,SSP1-2.6,8.12878433,532
2037,5,SSP1-2.6,11.05849369,533
2037,6,SSP1-2.6,14.92990969,534
2037,7,SSP1-2.6,18.03218701,535
2037,8,SSP1-2.6,19.52131906,536
2037,9,SSP1-2.6,18.53480581,537
2037,10,SSP1-2.6,16.07034807,538
2037,11,SSP1-2.6,12.73095669,539
2037,12,SSP1-2.6,9.822784703,540
2038,1,SSP1-2.6,7.726550018,541
2038,2,SSP1-2.6,6.75978617,542
2038,3,SSP1-2.6,6.810991635,543
2038,4,SSP1-2.6,8.429073715,544
2038,5,SSP1-2.6,11.26001336,545
2038,6,SSP1-2.6,14.85999432,546
2038,7,SSP1-2.6,18.0294124,547
2038,8,SSP1-2.6,19.32771889,548
2038,9,SSP1-2.6,18.35193126,549
2038,10,SSP1-2.6,16.06386813,550
2038,11,SSP1-2.6,12.63205219,551
2038,12,SSP1-2.6,9.859124943,552
2039,1,SSP1-2.6,7.773044798,553
2039,2,SSP1-2.6,6.556366764,554
2039,3,SSP1-2.6,6.50244067,555
2039,4,SSP1-2.6,8.172726443,556
2039,5,SSP1-2.6,11.24165719,557
2039,6,SSP1-2.6,14.95989133,558
2039,7,SSP1-2.6,17.94866804,559
2039,8,SSP1-2.6,19.30995579,560
2039,9,SSP1-2.6,18.33288383,561
2039,10,SSP1-2.6,15.97224487,562
2039,11,SSP1-2.6,12.64593268,563
2039,12,SSP1-2.6,9.764410398,564
2040,1,SSP1-2.6,7.521238932,565
2040,2,SSP1-2.6,6.346472584,566
2040,3,SSP1-2.6,6.399660291,567
2040,4,SSP1-2.6,8.091254684,568
2040,5,SSP1-2.6,10.93696874,569
2040,6,SSP1-2.6,14.72335539,570
2040,7,SSP1-2.6,17.57615732,571
2040,8,SSP1-2.6,19.13665782,572
2040,9,SSP1-2.6,18.0593764,573
2040,10,SSP1-2.6,15.64428587,574
2040,11,SSP1-2.6,12.5427813,575
2040,12,SSP1-2.6,9.510190262,576
2041,1,SSP1-2.6,7.641827077,577
2041,2,SSP1-2.6,6.718986332,578
2041,3,SSP1-2.6,6.796778383,579
2041,4,SSP1-2.6,8.08179356,580
2041,5,SSP1-2.6,10.98046807,581
2041,6,SSP1-2.6,14.79737888,582
2041,7,SSP1-2.6,18.06151192,583
2041,8,SSP1-2.6,19.30391622,584
2041,9,SSP1-2.6,18.22354366,585
2041,10,SSP1-2.6,15.5293462,586
2041,11,SSP1-2.6,12.16580059,587
2041,12,SSP1-2.6,9.264269594,588
2042,1,SSP1-2.6,7.39126758,589
2042,2,SSP1-2.6,6.550315182,590
2042,3,SSP1-2.6,6.693571234,591
2042,4,SSP1-2.6,8.120392805,592
2042,5,SSP1-2.6,11.11284396,593
2042,6,SSP1-2.6,14.72695703,594
2042,7,SSP1-2.6,17.90418435,595
2042,8,SSP1-2.6,18.9789908,596
2042,9,SSP1-2.6,18.16688298,597
2042,10,SSP1-2.6,15.48336039,598
2042,11,SSP1-2.6,12.44449572,599
2042,12,SSP1-2.6,9.6164338,600
2043,1,SSP1-2.6,7.48491686,601
2043,2,SSP1-2.6,6.620429472,602
2043,3,SSP1-2.6,6.487417634,603
2043,4,SSP1-2.6,8.027527577,604
2043,5,SSP1-2.6,11.0486616,605
2043,6,SSP1-2.6,14.86234176,606
2043,7,SSP1-2.6,17.85352324,607
2043,8,SSP1-2.6,19.22729345,608
2043,9,SSP1-2.6,18.21336643,609
2043,10,SSP1-2.6,15.75679329,610
2043,11,SSP1-2.6,12.42644452,611
2043,12,SSP1-2.6,9.762430986,612
2044,1,SSP1-2.6,7.751953674,613
2044,2,SSP1-2.6,6.745081975,614
2044,3,SSP1-2.6,6.789812178,615
2044,4,SSP1-2.6,8.078038787,616
2044,5,SSP1-2.6,10.89333715,617
2044,6,SSP1-2.6,14.53025531,618
2044,7,SSP1-2.6,18.07216168,619
2044,8,SSP1-2.6,19.21238712,620
2044,9,SSP1-2.6,18.44353252,621
2044,10,SSP1-2.6,15.90617903,622
2044,11,SSP1-2.6,12.60417402,623
2044,12,SSP1-2.6,9.499579649,624
2045,1,SSP1-2.6,7.506052726,625
